Date,Open,High,Low,Close,Volume
2003-12-01,18155.615212512203,18423.81117910461,18109.15566635132,18407.417189300526,1664.0
2003-12-02,18375.017852783203,18561.91471862793,18201.22054862976,18420.428509951802,1519.0
2003-12-03,18398.822944726562,18445.02328491211,18258.21188735962,18397.644413833623,2672.0
2003-12-04,18396.837057583616,18473.26457977295,18207.60040283203,18369.50797937927,304.0
2003-12-05,18333.87469291687,18536.24901347654,18179.600524902344,18470.47385590209,655.0
2003-12-06,18333.87469291687,18536.24901347654,18179.600524902344,18470.47385590209,0.0
2003-12-07,18333.87469291687,18536.24901347654,18179.600524902344,18470.47385590209,0.0
2003-12-08,18599.274375915527,18631.431449890137,18398.593131393427,18488.102773864754,221.0
2003-12-09,18506.697273254395,18605.86809031677,18456.319450378418,18544.93465491943,1224.0
2003-12-10,18481.39697772218,18749.2957611084,18404.652683514403,18429.700096844463,842.0
2003-12-11,18412.363291955553,18511.988471984863,18263.251432901016,18388.66620833741,101.0
2003-12-12,18456.433833377087,18642.251534774783,18445.46895970765,18595.766885089106,171.0
2003-12-13,18456.433833377087,18642.251534774783,18445.46895970765,18595.766885089106,0.0
2003-12-14,18456.433833377087,18642.251534774783,18445.46895970765,18595.766885089106,0.0
2003-12-15,18252.720583801274,18700.5,18241.074453253183,18605.505543127423,86.0
2003-12-16,18642.290725708008,18652.53978729248,18467.625,18537.303545370465,39.0
2003-12-17,18603.822153320303,18687.292134216288,18494.49523071898,18700.267974853516,185.0
2003-12-18,18753.49640974123,18778.28740168456,18513.0,18643.23975874635,85.0
2003-12-19,18663.875293786637,18694.38666947023,18527.331467202748,18586.68331661378,94.0
2003-12-20,18663.875293786637,18694.38666947023,18527.331467202748,18586.68331661378,0.0
2003-12-21,18663.875293786637,18694.38666947023,18527.331467202748,18586.68331661378,0.0
2003-12-22,18602.803402203368,18725.30793952942,18592.15340204467,18662.591339581297,52.0
2003-12-23,18651.447946490487,18743.413412094116,18574.594334246824,18654.87897491455,185.0
2003-12-24,18678.39602279663,18814.236546728527,18620.280250549316,18735.736598913558,165.0
2003-12-25,18678.39602279663,18814.236546728527,18620.280250549316,18735.736598913558,0.0
2003-12-26,18678.39602279663,18814.236546728527,18620.280250549316,18735.736598913558,0.0
2003-12-27,18678.39602279663,18814.236546728527,18620.280250549316,18735.736598913558,0.0
2003-12-28,18678.39602279663,18814.236546728527,18620.280250549316,18735.736598913558,0.0
2003-12-29,18816.703708663932,18952.164204956032,18765.893886566162,18893.724555371096,1.0
2003-12-30,18989.37773293152,18996.047649368295,18937.68190467835,18968.53305130615,1.0
2003-12-31,18963.946489788825,19006.797595922835,18949.642352856463,18926.82104833983,1.0
2004-01-01,18963.946489788825,19006.797595922835,18949.642352856463,18926.82104833983,0.0
2004-01-02,18963.946489788825,19006.797595922835,18949.642352856463,18926.82104833983,0.0
2004-01-03,18963.946489788825,19006.797595922835,18949.642352856463,18926.82104833983,0.0
2004-01-04,18963.946489788825,19006.797595922835,18949.642352856463,18926.82104833983,0.0
2004-01-05,18925.99010501709,19251.211919784546,19206.42734527588,19295.76995412598,20.0
2004-01-06,19296.618287854013,19349.77668215637,19287.404855871573,19258.116553662112,20.0
2004-01-07,19266.80414199829,19271.8805809021,19193.625,19148.77546074218,20.0
2004-01-08,19150.88380192872,19196.78070831299,19135.59051513672,19278.431365966797,20.0
2004-01-09,19276.736297607422,19285.329769546515,19172.99652989197,19337.666864923085,20.0
2004-01-10,19276.736297607422,19285.329769546515,19172.99652989197,19337.666864923085,0.0
2004-01-11,19276.736297607422,19285.329769546515,19172.99652989197,19337.666864923085,0.0
2004-01-12,19301.087035931414,19438.995679742424,19288.739122161875,19330.14740104368,3.0
2004-01-13,19291.46390778199,19320.953937973012,19133.135341644287,19199.118536764523,12.0
2004-01-14,19108.071068948368,19147.710007855203,19079.81660188292,19114.817780111684,12.0
2004-01-15,19121.880492138676,19154.157974243164,19116.59967803955,18520.53092438355,12.0
2004-01-16,18512.729584536748,18529.47003356018,18495.989135513315,18433.678363571176,12.0
2004-01-17,18512.729584536748,18529.47003356018,18495.989135513315,18433.678363571176,0.0
2004-01-18,18512.729584536748,18529.47003356018,18495.989135513315,18433.678363571176,0.0
2004-01-19,18512.729584536748,18529.47003356018,18495.989135513315,18433.678363571176,0.0
2004-01-20,18439.778615524294,18447.912801940925,18423.51024269103,18706.86578807677,12.0
2004-01-21,18706.45959297486,18729.152719226084,18680.465905914316,18625.707650341792,2.0
2004-01-22,18642.172260513296,18649.574731454486,18619.550635665888,18581.609649658203,2.0
2004-01-23,18482.35695954284,18494.59346143494,18449.31653721619,18455.0271122345,2.0
2004-01-24,18482.35695954284,18494.59346143494,18449.31653721619,18455.0271122345,0.0
2004-01-25,18482.35695954284,18494.59346143494,18449.31653721619,18455.0271122345,0.0
2004-01-26,18398.650276184082,18410.84778002929,18372.22183416749,18389.29895997315,2.0
2004-01-27,18543.070487976074,18570.12969970703,18527.079887390137,18561.10996246338,2.0
2004-01-28,18764.415189743042,18790.114303588867,18738.301803588867,18757.36781692505,76523.0
2004-01-29,18647.944427490234,18663.599685668945,17911.887197494507,18040.493463516235,42434.0
2004-01-30,18013.878631591797,18234.961781573482,17911.592643737793,18100.60999989626,13533.0
2004-01-31,18013.878631591797,18234.961781573482,17911.592643737793,18100.60999989626,0.0
2004-02-01,18013.878631591797,18234.961781573482,17911.592643737793,18100.60999989626,0.0
2004-02-02,18195.853393554688,18236.015166494763,17780.431350708008,18011.272747268667,2646.0
